Symbol,Full Name,GICS Sector,GICS Sub-Industry,Environment Score,Social Score,Governance Score,Total Esg,Highest Controversy,Percentile,Market Cap,Beta,Overall Risk
GD,General Dynamics,Industrials,Aerospace & Defense,8.48,19.52,6.87,34.88,3,78.44,61175287808.0,0.828838,2
GE,General Electric,Industrials,Industrial Conglomerates,14.09,15.04,11.58,40.71,3,89.64,125697007616.0,1.220262,8
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,8.45,8.94,4.13,21.51,2,30.57,38270767104.0,0.229253,8
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,10.28,12.92,7.69,30.89,4,66.37,46712147968.0,1.405601,4
GPC,Genuine Parts Company,Consumer Discretionary,Automotive Parts & Equipment,3.62,5.23,3.78,12.62,2,5.58,20901388288.0,0.909059,4
GILD,Gilead Sciences,Health Care,Biotechnology,0.03,14.04,8.01,22.08,2,32.53,94285570048.0,0.386583,1
GL,Globe Life,Financials,Life & Health Insurance,1.58,8.16,10.51,20.25,1,26.54,10420684800.0,0.784232,6
GPN,Global Payments,Financials,Transaction & Payment Processing Services,1.25,10.98,6.8,19.03,1,22.53,32327653376.0,0.968879,7
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,1.25,12.67,12.24,26.16,3,48.73,113594826752.0,1.397302,6
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,8.89,8.59,6.32,23.8,2,39.21,37837770752.0,2.191908,4
HIG,Hartford (The),Financials,Property & Casualty Insurance,1.5,5.99,8.67,16.17,1,13.34,22321582080.0,0.85408,3
HAS,Hasbro,Consumer Discretionary,Leisure Products,0.04,2.88,4.2,7.11,2,1.25,9208240128.0,0.709889,6
HCA,HCA Healthcare,Health Care,Health Care Facilities,3.5,17.34,7.4,28.24,2,56.57,69705080832.0,1.609958,5
PEAK,Healthpeak,Real Estate,Health Care REITs,3.01,2.22,4.49,9.73,0,2.27,11154430976.0,0.8852,1
HSIC,Henry Schein,Health Care,Health Care Distributors,2.14,5.59,5.64,13.37,2,6.95,9716830208.0,0.808091,5
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,11.3,10.89,5.24,27.43,3,54.81,43420823552.0,0.289073,10
HES,Hess Corporation,Energy,Integrated Oil & Gas,22.11,7.2,6.75,36.05,2,83.2,49237233664.0,1.595089,4
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",0.76,4.92,6.25,11.94,2,4.44,21898420224.0,1.268326,4
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",7.0,6.77,3.67,17.44,2,17.3,40380379136.0,1.247925,6
HOLX,Hologic,Health Care,Health Care Equipment,4.79,13.27,10.18,28.24,1,58.05,17589284864.0,1.006224,8
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,3.4,5.51,3.63,12.54,2,5.49,321422491648.0,0.954011,2
HON,Honeywell,Industrials,Industrial Conglomerates,10.58,10.19,8.54,29.31,3,60.66,128171032576.0,1.092323,6
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,13.23,10.68,6.0,29.91,3,65.04,20897435648.0,0.185684,7
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,3.25,5.64,5.05,13.94,1,8.13,11978809344.0,1.322614,7
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,3.7,8.73,6.2,6.21,2,29.85,19241869312.0,1.267634,2
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0.11,5.0,5.82,10.93,2,3.21,27019274240.0,1.028699,1
HUM,Humana,Health Care,Managed Health Care,0.01,16.43,5.94,22.37,2,33.66,58331697152.0,0.662863,1
HBAN,Huntington Bancshares,Financials,Regional Banks,1.96,10.79,7.63,20.38,2,27.06,15492315136.0,1.104426,9
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,3.7,8.73,6.2,6.21,2,29.85,8437977088.0,0.652143,4
IBM,IBM,Information Technology,IT Consulting & Other Services,0.47,6.67,7.64,14.77,2,9.67,132997775360.0,0.84993,5
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,8.1,13.0,5.72,26.82,0,52.41,16196908032.0,0.98686,6
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,3.3,7.1,9.05,19.45,1,24.02,37412859904.0,1.198478,6
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,4.31,9.07,6.22,19.6,2,24.21,72062566400.0,1.157676,3
ILMN,Illumina,Health Care,Life Sciences Tools & Services,0.98,3.72,6.21,10.9,3,3.29,23135543296.0,1.122752,10
INCY,Incyte,Health Care,Biotechnology,1.45,15.55,7.11,24.12,1,41.31,14016704512.0,0.694674,8
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,3.7,8.73,6.2,6.21,2,29.85,26649894912.0,1.434993,10
PODD,Insulet,Health Care,Health Care Equipment,3.7,8.73,6.2,6.21,2,29.85,11847244800.0,0.806362,9
INTC,Intel,Information Technology,Semiconductors,4.36,5.94,6.96,17.26,3,16.44,158641438720.0,0.886929,2
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,1.68,7.98,6.68,16.34,2,13.69,66099384320.0,0.935338,4
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,10.39,5.42,6.5,22.31,2,33.89,17625219072.0,1.130013,4
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,14.26,4.5,4.95,23.71,3,39.64,11847006208.0,1.05325,5
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,0.04,5.11,5.28,10.43,1,2.78,11832901632.0,1.1065,10
INTU,Intuit,Information Technology,Application Software,0.97,10.52,4.7,16.2,2,13.22,150801776640.0,1.184647,1
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,4.37,9.78,9.6,23.74,1,38.97,103839465472.0,1.299792,2
IVZ,Invesco,Financials,Asset Management & Custody Banks,0.7,9.87,9.76,20.33,2,26.8,6985028608.0,1.397648,3
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,3.7,8.73,6.2,6.21,2,29.85,21685528576.0,0.909059,9
IQV,IQVIA,Health Care,Life Sciences Tools & Services,1.3,10.62,7.22,19.14,2,22.9,38768758784.0,1.372752,9
